2023-08-18 11:16:18 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/error', 'method': 'GET', 'status': 404, 'executionTime': 66}
2023-08-18 11:16:22 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/error', 'method': 'GET', 'status': 404, 'executionTime': 232}
2023-08-18 11:17:24 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/course', 'method': 'POST', 'status': 400, 'executionTime': 72}
2023-08-18 11:17:24 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/error', 'method': 'POST', 'status': 400, 'executionTime': 6}
2023-08-18 11:18:16 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/course', 'method': 'POST', 'status': 400, 'executionTime': 6}
2023-08-18 11:18:16 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/error', 'method': 'POST', 'status': 400, 'executionTime': 7}
2023-08-18 11:18:34 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/course', 'method': 'POST', 'status': 200, 'executionTime': 314}
2023-08-18 11:19:28 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/course', 'method': 'POST', 'status': 200, 'executionTime': 18}
2023-08-18 11:29:44 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/tags', 'method': 'GET', 'status': 200, 'executionTime': 417}
2023-08-18 11:30:00 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/tags', 'method': 'POST', 'status': 200, 'executionTime': 132}
2023-08-18 11:30:03 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/tags', 'method': 'GET', 'status': 200, 'executionTime': 22}
2023-08-18 11:30:17 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/course', 'method': 'POST', 'status': 200, 'executionTime': 150}
2023-08-18 11:30:36 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/course', 'method': 'POST', 'status': 200, 'executionTime': 76}
2023-08-18 11:30:45 TRACE c.e.c.c.RouteLoggingInterceptor:40 - {'route': '/course', 'method': 'POST', 'status': 200, 'executionTime': 20}
